date_observation,code_municipalite,nom,coordonnee_x,coordonnee_y,urgence,certitude,type,severite,etat,imprecision
2008/10/28 00:00:00,09075,Mont-Joli,-68.1936499129999,48.5862388190001,Passée,Observé,Pluie verglaçante,Mineure,Actuel,aucune
2008/10/28 00:00:00,09065,Price,-68.127055761,48.6021791910001,Passée,Observé,Incendie industriel,Mineure,Actuel,aucune
2002/08/07 00:00:00,09085,Sainte-Flavie,-68.2373659519999,48.5952871070001,Passée,Observé,Distribution d'électricité,Mineure,Actuel,aucune
1998/10/30 00:00:00,09085,Sainte-Flavie,-68.238554351,48.5978489920001,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
2002/08/07 00:00:00,09085,Sainte-Flavie,-68.170814514,48.6371459960001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2007/09/09 00:00:00,09085,Sainte-Flavie,-68.2248877659999,48.5978489920001,Passée,Observé,Autre,Mineure,Actuel,aucune
1993/06/23 00:00:00,09020,Sainte-Jeanne-d'Arc,-68.044530171,48.4706002560001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1998/10/30 00:00:00,09020,Sainte-Jeanne-d'Arc,-68.041559175,48.4709953780001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2002/08/07 00:00:00,09020,Sainte-Jeanne-d'Arc,-68.0373997789999,48.4707978170001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2007/09/09 00:00:00,09020,Sainte-Jeanne-d'Arc,-68.029378089,48.4707978170001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1998/10/30 00:00:00,09092,Sainte-Luce,-68.402935355,48.5428889455,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
1992/06/23 00:00:00,09035,Sainte-Angèle-de-Mérici,-68.100933458,48.5134245940001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2004/08/12 00:00:00,06005,Maria,-66.011225791,48.2020618650001,Passée,Observé,Pluie,Mineure,Actuel,aucune
1998/11/01 00:00:00,09065,Price,-68.125700987,48.6021555460001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1996/07/20 00:00:00,09035,Sainte-Angèle-de-Mérici,-68.10806385,48.5134245940001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1905/04/19 00:00:00,07100,Saint-Noël,-67.838956869,48.5941079680001,Passée,Observé,Feu de forêt,Mineure,Actuel,aucune
2002/07/22 00:00:00,09035,Sainte-Angèle-de-Mérici,-68.1110348459999,48.513227199,Passée,Observé,Inondation,Mineure,Actuel,aucune
2013/06/28 00:00:00,06045,Matapédia,-66.952345384,47.9753139820001,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
2011/06/28 00:00:00,05020,Hope Town,-65.156692505,48.0509872440001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2013/05/31 00:00:00,06020,Nouvelle,-66.316795349,48.142974854,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1998/10/30 00:00:00,09035,Sainte-Angèle-de-Mérici,-68.051443839,48.49286119,Passée,Observé,Débordement de barrage,Mineure,Actuel,aucune
1998/10/30 00:00:00,09085,Sainte-Flavie,-68.240336949,48.595484179,Passée,Observé,Distribution d'électricité,Mineure,Actuel,aucune
1993/06/23 00:00:00,09092,Sainte-Luce,-68.3470568509999,48.5382763860001,Passée,Observé,Accident ferroviaire,Mineure,Actuel,aucune
2008/08/02 00:00:00,06990,TNO aquatique de la MRC d'Avignon,-65.906898366,48.2036152050001,Passée,Observé,Inondation,Mineure,Actuel,aucune
2006/11/21 00:00:00,06013,Carleton-sur-Mer,-66.231765802,48.1689957300001,Passée,Observé,Autre,Mineure,Actuel,aucune
2008/07/21 00:00:00,06013,Carleton-sur-Mer,-66.2266938879999,48.1114265080001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2007/11/04 00:00:00,09085,Sainte-Flavie,-68.243605045,48.595681251,Passée,Observé,Inondation,Mineure,Actuel,aucune
2008/07/01 00:00:00,09035,Sainte-Angèle-de-Mérici,-68.097368262,48.5138193810001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1998/10/30 00:00:00,09035,Sainte-Angèle-de-Mérici,-68.1347857599999,48.5421255150001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1980/05/01 00:00:00,06013,Carleton-sur-Mer,-66.203636406,48.1090999790001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1988/01/01 00:00:00,06025,Escuminac,-66.5412248069999,48.1389850530001,Passée,Observé,Inondation,Mineure,Actuel,date
2001/03/01 00:00:00,06025,Escuminac,-66.5039443969999,48.1092720030001,Passée,Observé,Feu de forêt,Mineure,Actuel,date
2007/05/20 00:00:00,06025,Escuminac,-66.531717618,48.138587337,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
2008/07/01 00:00:00,06005,Maria,-65.982376099,48.1742630000001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2002/08/02 00:00:00,06990,TNO aquatique de la MRC d'Avignon,-66.0181378469999,48.1481798280001,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
2010/05/04 00:00:00,09092,Sainte-Luce,-68.3938262795,48.5474853380001,Passée,Observé,Onde de tempête,Importante,Actuel,aucune
1994/09/12 00:00:00,09092,Sainte-Luce,-68.342303257,48.5363033800001,Passée,Observé,Tremblement de terre,Mineure,Actuel,aucune
2013/06/01 00:00:00,09045,Les Boules,-67.93550558,48.6610031910001,Passée,Observé,Inondation,Mineure,Actuel,aucune
1980/07/07 00:00:00,09085,Sainte-Flavie,-68.241822447,48.5976519280001,Passée,Observé,Onde de tempête,Mineure,Actuel,aucune
2004/09/10 00:00:00,06005,Maria,-66.0153851859999,48.2026576960001,Passée,Observé,Pluie,Mineure,Actuel,aucune
1996/01/27 00:00:00,04045,Cap-Chat,-66.6876465249999,49.0524321070001,Passée,Observé,Vent de tempête,Mineure,Actuel,aucune
1994/09/10 00:00:00,09020,Sainte-Jeanne-d'Arc,-68.025381108,48.483068163,Passée,Observé,Inondation,Mineure,Actuel,aucune
2006/07/04 00:00:00,06045,Matapédia,-66.974211919,47.981135694,Passée,Observé,Inondation,Mineure,Actuel,aucune
2006/11/21 00:00:00,06020,Nouvelle,-66.387741089,48.170635223,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
2013/05/31 00:00:00,06020,Nouvelle,-66.2850265499999,48.1186409000001,Passée,Observé,Géomorphologique (ex. érosion),Mineure,Actuel,aucune
1991/07/08 00:00:00,06020,Nouvelle,-66.3935674699999,48.1646204690001,Passée,Observé,Mouvement de terrain,Mineure,Actuel,aucune
2001/07/24 00:00:00,06020,Nouvelle,-66.3435061769999,48.1447527810001,Passée,Observé,Inondation,Mineure,Actuel,aucune
